TAXON 1,INTERACTION TYPE,BODY PART,TAXON 2,INTERACTION TITLE,REPORTED FOR BOGOTÁ,REMARKS,SOURCE TYPE 1,REFERENCE 1,SOURCE TYPE 2,REFERENCE 2,SOURCE TYPE 3,REFERENCE 3,SOURCE TYPE 4,REFERENCE 4,SOURCE TYPE 5,REFERENCE 5,SOURCE TYPE 6,REFERENCE 6
Alternaria pellucida,Parasita a,la hoja,Solanum lycopersicum,PARASITISMO,SI,"En la fuente no se especifica a que parte de la planta infecta, sin embargo se sabe por otras fuentes que los hongos de este género infestan principalmente las hojas.",Artículo Científico,"Rodríguez-Roa, J.H., Cárdenas, M., Jiménez, P. (2013) Especies de Alternaria de La Sabana de Bogotá, Colombia. Revista Facultad de Ciencias Básicas 9, 228-247.",,,,,,,,,,
Alternaria tenuissima,Parasita a,la hoja,Solanum lycopersicum,PARASITISMO,SI,"En la fuente no se especifica a que parte de la planta infecta, sin embargo se sabe por otras fuentes que los hongos de este género infestan principalmente las hojas.",Artículo Científico,"Rodríguez-Roa, J.H., Cárdenas, M., Jiménez, P. (2013) Especies de Alternaria de La Sabana de Bogotá, Colombia. Revista Facultad de Ciencias Básicas 9, 228-247.",,,,,,,,,,
Uleodothis eupatoriicola,Parasita a,la hoja,Ageratina flaviseta,PARASITISMO,NO,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos Colombianos. Dothideales. Caldasia 1, 75-87",,,,,,,,,,
Phialophora cinerescens,Parasita a,parte no especificada,Dianthus caryophyllus,PARASITISMO,NO,,Artículo Científico,"Arbeláez, G. (1987) Fungal and bacterial diseases on carnation in Colombia. Acta Horticulturae 216, 151-157.",,,,,,,,,,
Aspergillus fumigatus,Crece sobre,parte no especificada,Musca domestica,EPIFITISMO/EPIZOISMO,SI,La mosca común actúa como vector mecánico de este microorganismo,Artículo Científico,"Quiceno, J., Bastidas, X., Rojas, D., Bayona, M. (2010) La mosca doméstica como portador de patógenos microbianos, en cinco cafeterías del norte de Bogotá. Revista UDCA Actualidad & Divulgación Científica 13, 23-29.",,,,,,,,,,
Penicillium verrucosum,Parasita a,la hoja,Liquidambar styraciflua,PARASITISMO,SI,,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Candelaria concolor,Crece sobre,el tallo,Croton mutisianus,EPIFITISMO/EPIZOISMO,SI,"Alta exposición solar. Según comunicación personal con Perilla (2019), C. hibiscifolius no se encuentra reportada para Bogotá, y estas determinaciones corresponden a ejemplares de C. mutisianus",Colección Biológica,"Moncada, B. 8342 JBB",,,,,,,,,,
Candelaria concolor,Crece sobre,el tallo,Prunus serotina,EPIFITISMO/EPIZOISMO,SI,Alta exposición solar,Colección Biológica,"Moncada, B. 8368 JBB",,,,,,,,,,
Cladonia didyma,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Anzia leucobates,Crece sobre,el tallo,Diplostephium revolutum,EPIFITISMO/EPIZOISMO,SI,"En la etiqueta, el nombre del líquen epífito se reporta erróneamente escrito como Anzia cf. leucobatodes",Colección Biológica,"Cleef, A.M. 1696c COL",,,,,,,,,,
Anzia parasitica,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Flavopunctelia flaventior,Crece sobre,el tallo,Cedrela montana,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Moncada, B. 8353 JBB",,,,,,,,,,
Hypotrachyna caraccensis,Crece sobre,el tallo,Polylepis sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Aguirre, J. 5049, 5054, 5066, 5067 COL",,,,,,,,,,
Hypotrachyna caraccensis,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Hypotrachyna densirhizinata,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Hypotrachyna laevigata,Crece sobre,el tallo,Gaultheria anastomosans,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cleef, A.M. 8393 COL",,,,,,,,,,
Hypotrachyna laevigata,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",Colección Biológica,"Cleef, A.M. 6051e COL",,,,,,,,
Hypotrachyna pulvinata,Crece sobre,el tallo,Arcytophyllum sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cleef, A.M. 2817 COL",,,,,,,,,,
Hypotrachyna reducens,Crece sobre,el tallo,Tracheophyta sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cleef, A.M. 2817 COL",,,,,,,,,,
Hypotrachyna sorocheila,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Hypotrachyna vexans,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Parmelinopsis horrescens,Crece sobre,el tallo,Prunus serotina,EPIFITISMO/EPIZOISMO,SI,Alta exposición solar,Colección Biológica,"Moncada, B. 8362 JBB",,,,,,,,,,
Parmelinopsis horrescens,Crece sobre,el tallo,Cedrela montana,EPIFITISMO/EPIZOISMO,SI,Exposición solar media,Colección Biológica,"Moncada, B. 8556 JBB",,,,,,,,,,
Parmotrema reticulatum,Crece sobre,el tallo,Prunus serotina,EPIFITISMO/EPIZOISMO,SI,Exposición solar media,Colección Biológica,"Moncada, B. 8365 JBB",,,,,,,,,,
Ramalina celastri,Crece sobre,el tallo,Salix humboldtiana,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cabrera-Amaya, D.M. 4422 JBB",,,,,,,,,,
Leptogium aciculare,Crece sobre,parte no especificada,Aragoa sp.,EPIFITISMO/EPIZOISMO,SI,En la fuente se reporta como Leptogium cf. aciculare,Colección Biológica,"Cleef, A.M. 2796 COL",,,,,,,,,,
Leptogium phyllocarpum,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Pseudocyphellaria aurata,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Sticta fuliginosa,Crece sobre,la hoja,Espeletia sp.,EPIFITISMO/EPIZOISMO,SI,Crece sobre hojas viejas,Colección Biológica,"Cleef, A.M. 3171 COL",,,,,,,,,,
Sticta fuliginosa,Crece sobre,el tallo,Diplostephium revolutum,EPIFITISMO/EPIZOISMO,NO,Crece sobre el tronco muerto,Colección Biológica,"Cleef, A.M. 7280 COL",,,,,,,,,,
Sticta fuliginosa,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Sticta weigelii,Crece sobre,la hoja,Espeletia sp.,EPIFITISMO/EPIZOISMO,SI,Crece sobre hojas viejas,Colección Biológica,"Cleef, A.M. 3170 COL",,,,,,,,,,
Sticta weigelii,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Heterodermia leucomelos,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Physcia krogiae,Crece sobre,el tallo,Cedrela montana,EPIFITISMO/EPIZOISMO,SI,Exposición solar media,Colección Biológica,"Moncada, B. 8378 JBB",,,,,,,,,,
Physcia poncinsii,Crece sobre,el tallo,Cedrela montana,EPIFITISMO/EPIZOISMO,SI,Baja exposición solar,Colección Biológica,"Moncada, B. 8354 JBB",,,,,,,,,,
Teloschistes exilis,Crece sobre,el tallo,Ericaceae sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cleef, A.M. 11 COL",,,,,,,,,,
Teloschistes exilis,Crece sobre,el tallo,Salix humboldtiana,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cabrera-Amaya, D.M. 4420 JBB",,,,,,,,,,
Teloschistes exilis,Crece sobre,el tallo,Lycianthes lycioides,EPIFITISMO/EPIZOISMO,NO,,Colección Biológica,"Cuatrecasas, J. 26700 COL",,,,,,,,,,
Teloschistes flavicans,Crece sobre,el tallo,Hesperomeles sp.,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cleef, A.M. 3916 COL",,,,,,,,,,
Teloschistes flavicans,Crece sobre,el tallo,Alnus acuminata,EPIFITISMO/EPIZOISMO,NO,,Colección Biológica,"Cleef, A.M. 9544 COL",,,,,,,,,,
Teloschistes flavicans,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Teloschistes hypoglaucus,Crece sobre,el tallo,Salix humboldtiana,EPIFITISMO/EPIZOISMO,SI,,Colección Biológica,"Cabrera-Amaya, D.M. 4421 JBB",,,,,,,,,,
Xanthoria parietina,Crece sobre,el tallo,Salix humboldtiana,EPIFITISMO/EPIZOISMO,SI,En la fuente se reporta como Xanthoria cf. parietina,Colección Biológica,"Cabrera-Amaya, D.M. 4425 JBB",,,,,,,,,,
Xanthoria parietina,Crece sobre,el tallo,Malus pumila,EPIFITISMO/EPIZOISMO,NO,,Colección Biológica,"Pier, A.M. 74948 COL",,,,,,,,,,
Botrytis cinerea,Parasita a,parte no especificada,Solanum lycopersicum,PARASITISMO,NO,,Artículo Científico,"Kim, A.Y., Shahzad, R., Kang, S.M., Khan, A.L., Lee, S.M., Park, Y.G., Lee, W.H., Lee, I.J. (2017) Paenibacillus terrae AY-38 resistance against Botrytis cinerea in Solanum lycopersicum L. plants through defence hormones regulation. Journal of Plant Interactions 12, 244-253.",,,,,,,,,,
Verticillium albo-atrum,Parasita a,la hoja,Fraxinus uhdei,PARASITISMO,SI,"En la referencia se refieren a Fraxinus chinensis, pero este dato corresponde a una determinación errada perpetuada en la literatura, se deja el taxón corregido",Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Akanthomyces sabanensis,Parasita a,la piel,Pulvinaria caballeroramosae,PARASITISMO,SI,Se encuentra sobre la epicutícula del insecto,Artículo Científico,"Chiriví-Salomón, J. S., Danies, G., Restrepo, S., & Sanjuan, T. (2015) Lecanicillium sabanense sp. nov.(Cordycipitaceae) a new fungal entomopathogen of coccids. Phytotaxa 234, 63-74.",,,,,,,,,,
Sarocladium kiliense,Parasita a,la hoja,Liquidambar styraciflua,PARASITISMO,SI,,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Sarocladium strictum,Es simbionte con,la raíz,Gaultheria shallon,MUTUALISMO,NO,,Artículo Científico,"Xiao, G., Berch, S.M. (1996) Diversity and abundance of ericoid mycorrhizal fungi of Gaultheria shallon on forest clearcuts. Canadian Journal of Botany 74, 337-346.",,,,,,,,,,
Sarocladium strictum,Parasita a,la hoja,Croton bogotanus,PARASITISMO,SI,,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Fusarium acuminatum,Parasita a,la semilla,Oryza sativa,HERBIVORÍA PARCIAL,NO,,Literatura Gris,"Sisalima-Abad, J.V. (2017) Análisis de riesgo de plagas de granos de arroz (Oryza sativa L.) para consumo, originarios de Uruguay. Trabajo de Grado en Ingeniería Agrícola. Universidad Central del Ecuador. Quito, Ecuador.",,,,,,,,,,
Fusarium acuminatum,Parasita a,la hoja,Ficus americana subsp. andicola,PARASITISMO,SI,Asociación micorrícica. La planta se reporta como Ficus soatensis en la fuente,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Fusarium graminearum,Parasita a,la hoja,Ficus americana subsp. andicola,PARASITISMO,SI,Asociación micorrícica. La planta se reporta como Ficus soatensis en la fuente,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Fusarium oxysporum,Parasita a,parte no especificada,Passiflora edulis,PARASITISMO,SI,,Literatura Gris,"Ortiz, E. (2012) Etiología de enfermedades asociadas a
fusariosis en el cultivo de gulupa (Passiflora edulis
Sims.) en la región del Sumapaz. Tesis M.Sc.
Facultad de Agronomía, Universidad Nacional de
Colombia, Bogotá.",,,,,,,,,,
Fusarium oxysporum,Parasita a,el tallo,Physalis peruviana,PARASITISMO,NO,Invade los haces vasculares,Literatura Gris,"Becerra-Mutis, L.M. (2016) Evaluación de la infección de Fusarium oxysporum y caracterización de la respuesta fisiológica a la enfermedad en seis ecotipos de Physalis. Tesis de Pregrado, Universidad Nacional de Colombia.",,,,,,,,,,
Fusarium oxysporum,Parasita a,el tallo,Passiflora edulis f. edulis,PARASITISMO,NO,,Literatura Gris,"Alméciga, J., Herrera, E. (2008) Inventario preliminar de la entomofauna asociada al cultivo de gulupa (Passiflora edulis f. edulis Sims.) en los municipios de Choachí y Ubaque, Cundinamarca, Colombia. Tesis de Pregrado, Universidad Nacional de Colombia.",,,,,,,,,,
Fusarium oxysporum,Parasita a,la hoja,Ficus americana subsp. andicola,PARASITISMO,SI,Asociación micorrícica. La planta se reporta como Ficus soatensis en la fuente,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Neocosmospora solani,Parasita a,el tallo,Alnus acuminata,PARASITISMO,NO,El hongo ataca los haces vasculares,Página Web,T.F. (2014) Vivero Terra Forestal S.A.S. Recuperado de: https://terraforestalblog.files.wordpress.com/2014/11/aliso.pdf,,,,,,,,,,
Neocosmospora solani,Parasita a,parte no especificada,Passiflora edulis,PARASITISMO,SI,,Literatura Gris,"Ortiz, E. (2012) Etiología de enfermedades asociadas a
fusariosis en el cultivo de gulupa (Passiflora edulis
Sims.) en la región del Sumapaz. Tesis M.Sc.
Facultad de Agronomía, Universidad Nacional de
Colombia, Bogotá.",,,,,,,,,,
Monocillium mucidum,Parasita a,la hoja,Liquidambar styraciflua,PARASITISMO,SI,,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Anisochora chardonii,Parasita a,la hoja,Alnus acuminata,PARASITISMO,NO,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos Colombianos. Dothideales. Caldasia 1, 75-87.",,,,,,,,,,
Phaeotrabutia isabelae,Parasita a,la hoja,Xylosma spiculifera,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos Colombianos. Dothideales. Caldasia 1, 75-87",,,,,,,,,,
Phyllachora espeletiae,Parasita a,la hoja,Espeletiopsis corymbosa,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos colombianos. Dothideales. Caldasia 1, 75-87.",,,,,,,,,,
Phyllachora maydis,Parasita a,la hoja,Zea mays,PARASITISMO,NO,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos Colombianos. Dothideales. Caldasia 1, 75-87",,,,,,,,,,
Phyllachora rapaneicola,Parasita a,la hoja,Myrsine sp.,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos colombianos. Dothideales. Caldasia 1, 75-87.",,,,,,,,,,
Phyllachora rapaneicola,Parasita a,la hoja,Rapanea sp.,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos Colombianos. Dothideales. Caldasia 1, 75-87",,,,,,,,,,
Phyllachora toroi,Parasita a,la hoja,Cestrum mutisii,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos colombianos. Dothideales. Caldasia 1, 75-87.",,,,,,,,,,
Phyllachora toroi,Parasita a,la hoja,Cestrum tomentosum,PARASITISMO,SI,,Artículo Científico,"Garcés-Orejuela, C. (1941) Estudios micológicos colombianos. Dothideales. Caldasia 1, 75-87.",,,,,,,,,,
Nigrospora oryzae,Parasita a,la hoja,Croton bogotanus,PARASITISMO,SI,,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Nigrospora oryzae,Parasita a,la hoja,Ficus americana subsp. andicola,PARASITISMO,SI,Asociación micorrícica. La planta se reporta como Ficus soatensis en la fuente,Artículo Científico,"Posada, R.H. (2006) Hongos fitopatógenos de cuatro especies arbóreas en el contexto urbano. Pérez Arbelaezia 17, 127-140.",,,,,,,,,,
Amanita muscaria,Es simbionte con,la raíz,Quercus humboldtii,MUTUALISMO,NO,Asociación micorrícica,Artículo Científico,"Vargas, N., Bernal, A., Sarria, V., Franco-Molano, A., Restrepo, S. (2011). Amatoxin and phallotoxin composition in species of the genus Amanita in Colombia: A taxonomic perspective. Toxicon 58, 583-590.",,,,,,,,,,
Dictyonema thelephora,Crece sobre,el tallo,Quercus humboldtii,EPIFITISMO/EPIZOISMO,NO,,Literatura Gris,"Simijaca, D., Moncada, B., Lücking, R. (2014) Líquenes epífitos de Quercus humboldtii. Science & Education, The Field Museum, Chicago, IL 60605, USA. Rapid color guide #566.",,,,,,,,,,
Rhizoctonia solani,Parasita a,parte no especificada,Beta vulgaris,PARASITISMO,NO,,Artículo Científico,"Hillnhütter, C., Berdugo, C., Sikora, R. (2011) Study of the interaction mechanism between Heterodera schachtii and Rhizoctonia solani using a split-pot design on sugar beet. Revista Colombiana de Ciencias Hortícolas 5, 83-90.",,,,,,,,,,
Rhizoctonia solani,Parasita a,parte no especificada,Dianthus caryophyllus,PARASITISMO,NO,,Artículo Científico,"Arbeláez, G. (1987) Fungal and bacterial diseases on carnation in Colombia. Acta Horticulturae 216, 151-157.",,,,,,,,,,
Rhizoctonia solani,Consume,la savia,Gardenia jasminoides,HERBIVORÍA PARCIAL,NO,,Artículo Científico,"Valdés, Y.C. (2018) La gardenia: características, usos, plagas y enfermedades y aspectos básicos de su cultivo. Agronomía Mesoamericana 29, 731-745.",,,,,,,,,,
Rhizoctonia solani,Parasita a,la raíz,Solanum tuberosum,PARASITISMO,SI,,Artículo Científico,"Bautista, G., Mendoza, H., Uribe, D. (2007) Biocontrol of Rhizoctonia solani in native potato (Solanum phureja) plants using native Pseudomonas fluorescens. Acta Biológica Colombiana 12, 19-31.",,,,,,,,,,
Entyloma australe,Parasita a,parte no especificada,Physalis peruviana,PARASITISMO,SI,,Artículo Científico,"Piepenbring, M. (2002) Lista anotada y clave para los ustilaginales de Colombia. Caldasia 24, 103-119.",Artículo Cientifico,"Molina-Valero, L.A. (1980) Los hongos de Colombia-VI. Reconocimiento e identificación de Ustilaginales en Colombia. Caldasia 13, 49-96.",,,,,,,,
Entyloma calendulae,Parasita a,parte no especificada,Calendula officinalis,PARASITISMO,NO,,Artículo Científico,"Molina-Valero, L.A. (1980) Los hongos de Colombia-VI. Reconocimiento e identificación de Ustilaginales en Colombia. Caldasia 13, 49-96.",,,,,,,,,,
Chrysocelis lupini,Parasita a,parte no especificada,Lupinus bogotensis,PARASITISMO,SI,,Artículo Científico,"Andrés, A. (2019) Determinado por Andrés, A.",,,,,,,,,,
Chrysocelis lupini,Parasita a,parte no especificada,Lupinus mutabilis,PARASITISMO,NO,,Artículo Científico,"Cummins, G.B. (1945) Additions to the Uredinales Reported for Peru. Mycologia 37, 609-618.",,,,,,,,,,
Phragmidium mucronatum,Parasita a,parte no especificada,Rosa sp.,PARASITISMO,SI,,Artículo Científico,"Cardona, V.M.P. (2006) Uredinales de plantas cultivadas de interes floral en Colombia. Revista Facultad Nacional de Agronomía 59, 3335-3353.",,,,,,,,,,
Puccinia antirrhini,Parasita a,parte no especificada,Antirrhinum majus,PARASITISMO,SI,,Artículo Científico,"Cardona, V.M.P. (2006) Uredinales de plantas cultivadas de interes floral en Colombia. Revista Facultad Nacional de Agronomía 59, 3335-3353.",,,,,,,,,,
Puccinia arenariae,Parasita a,parte no especificada,Dianthus barbatus,PARASITISMO,SI,En la fuente se reporta como Dianthus aff. barbatus,Artículo Científico,"Cardona, V.M.P. (2006) Uredinales de plantas cultivadas de interes floral en Colombia. Revista Facultad Nacional de Agronomía 59, 3335-3353.",,,,,,,,,,
Puccinia bogotensis,Parasita a,parte no especificada,Geranium multiceps,PARASITISMO,SI,,Artículo Científico,"Cardona, V.M.P. (2006) Uredinales de plantas cultivadas de interes floral en Colombia. Revista Facultad Nacional de Agronomía 59, 3335-3353.",,,,,,,,,,
Puccinia coronata,Parasita a,parte no especificada,Alopecurus pratensis,PARASITISMO,NO,,Libro,"Ellis, M.B., Ellis, J.P. (1997) Microfungi on Land Plants: An Identification Handbook. The Richmond Publishing Co. Ltd.",,,,,,,,,,
Puccinia dracunculina,Parasita a,parte no especificada,Artemisia dracunculus,PARASITISMO,SI,,Artículo Científico,"Buriticá-Céspedes, P., Salazar-Yepes, M. (2007) Nuevos registros de royas (uredinales) potencialmente importantes en Colombia. Revista Facultad Nacional de Agronomía 60, 3645-3655.",,,,,,,,,,
Puccinia graminis,Parasita a,parte no especificada,Anthoxanthum odoratum,PARASITISMO,SI,,Artículo Científico,"Obregón-Botero, R. (1964) Micología Lista de Huéspedes Colombianos. Revista Facultad Nacional de Agronomía Medellín 24, 49-60.",,,,,,,,,,
Puccinia hieracii,Parasita a,parte no especificada,Taraxacum officinale,PARASITISMO,SI,,Artículo Científico,"Salazar, M., Buriticá, P. (2002) Nuevos registros de hospedantes para la uredomicota colombiana. Revista Facultad Nacional de Agronomía 55, 1615-1632.",,,,,,,,,,
Puccinia montserrates,Parasita a,parte no especificada,Baccharis bogotensis,PARASITISMO,SI,,Artículo Científico,"Kern, F.D., Thurston Jr,H.W., Whetzel, H.H. (1933) Annotated index of the rusts of Colombia. Mycologia 25, 448-503.",,,,,,,,,,
Puccinia tanaceti,Parasita a,parte no especificada,Artemisia absinthium,PARASITISMO,NO,,Libro,"Vanderweyen, A., Fraiture, A. (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique.",,,,,,,,,,
Puccinia tanaceti,Parasita a,la flor,Artemisia vulgaris,PARASITISMO,NO,,Libro,"Vanderweyen, A., Fraiture, A. (2009) Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique.",,,,,,,,,,
Aecidium bogotense,Parasita a,parte no especificada,Geranium multiceps,PARASITISMO,SI,,Artículo Científico,"Cardona, V.M.P. (2006) Uredinales de plantas cultivadas de interes floral en Colombia. Revista Facultad Nacional de Agronomía 59, 3335-3353.",,,,,,,,,,
Chardoniella gynoxidis,Parasita a,la hoja,Ageratina ampla,PARASITISMO,SI,,Artículo Científico,"Céspedes, P.B.,Yepes, M.S., Cardona, V.M.P. (2014) Pucciniales (Fungi), Royas de Colombia/Pucciniales (Fungi) Rust of Colombia. Revista Facultad Nacional de Agronomia Medellin 67, 1.",,,,,,,,,,
Chardoniella gynoxidis,Parasita a,parte no especificada,Ageratina angustifolia,PARASITISMO,SI,,Artículo Científico,"Céspedes, P.B.,Yepes, M.S., Cardona, V.M.P. (2014) Pucciniales (Fungi), Royas de Colombia/Pucciniales (Fungi) Rust of Colombia. Revista Facultad Nacional de Agronomia Medellin 67, 1.",,,,,,,,,,
Chardoniella gynoxidis,Parasita a,parte no especificada,Ageratina asclepiadea,PARASITISMO,SI,,Artículo Científico,"Escobar, J.M. (2018) Determinado por Escobar, J.M.",,,,,,,,,,
Chardoniella gynoxidis,Parasita a,parte no especificada,Ageratina popayanensis,PARASITISMO,SI,,Artículo Científico,"Céspedes, P.B.,Yepes, M.S., Cardona, V.M.P. (2014) Pucciniales (Fungi), Royas de Colombia/Pucciniales (Fungi) Rust of Colombia. Revista Facultad Nacional de Agronomia Medellin 67, 1.",,,,,,,,,,
Chardoniella gynoxidis,Parasita a,parte no especificada,Ageratina tinifolia,PARASITISMO,NO,,Artículo Científico,"Céspedes, P.B.,Yepes, M.S., Cardona, V.M.P. (2014) Pucciniales (Fungi), Royas de Colombia/Pucciniales (Fungi) Rust of Colombia. Revista Facultad Nacional de Agronomia Medellin 67, 1.",,,,,,,,,,
Cryptococcus heveanensis,Crece sobre,la hoja,Eucalyptus sp.,EPIFITISMO/EPIZOISMO,SI,"Crece saprofíticamente sobre los troncos de los árboles, aparentemente sin afectar a la planta",Artículo Científico,"Duarte, A., Ordóñez, N., Castañeda, E. (1994) Asociacion de leveduras del genero Cryptococcus con especies de Eucalyptus en Santafe de Bogota Isolation of Cryptococcus sp. associated with Eucalyptus trees in Santafé de Bogota. Revista do Instituto de Medicina Tropical de São Paulo 36, 125-130.",,,,,,,,,,
